name	code
微软	US.MSFT
谷歌	US.GOOG
eBay	US.EBAY
亚马逊	US.AMZN
英特尔	US.INTC
苹果	US.AAPL
诺基亚	US.NOK
爱立信	US.ERIC
Adobe	US.ADBE
IBM	US.IBM
戴尔	US.DELL
德州仪器	US.TXN
思科	US.CSCO
美国电话	US.T
沃达丰	US.VOD
希捷	US.STX
甲骨文	US.ORCL
高通	US.QCOM
斯普林特	US.S
高知特	US.CTSH
威讯	US.VZ
阿利根尼	US.ATI
惠普	US.HPQ
AMD	US.AMD
英伟达	US.NVDA
SAP	US.SAP
阿克迈	US.AKAM
摩托罗拉	US.MSI
Yandex	US.YNDX
GroupOn	US.GRPN
埃森哲	US.ACN
奈飞	US.NFLX
威睿	US.VMW
泰勒科技	US.TYL
瞻博网络	US.JNPR
易昆尼克	US.EQIX
电话数据	US.TDS
Informat	US.INFA
科磊	US.KLAC
Yelp	US.YELP
赛富时	US.CRM
捷普	US.JBL
美国网存	US.NTAP
赛门铁克	US.SYMC
Axcelis	US.ACLS
康宁	US.GLW
AECOM	US.ACM
泰瑞达	US.TER
猫途鹰	US.TRIP
现在服务	US.NOW
威瑞信	US.VRSN
NTT道康	US.DCM
微芯科技	US.MCHP
欧特克	US.ADSK
艾斯本	US.AZPN
阿克西鄂	US.ACXM
F5网络	US.FFIV
电子艺界	US.EA
财捷	US.INTU
回声星通	US.SATS
克里科技	US.CREE
天宝导航	US.TRMB
Stratasy	US.SSYS
大西洋电	US.ATNI
应用材料	US.AMAT
工时公司	US.WDAY
UiPath	US.PATH
游戏科技	US.IGT
天睿	US.TDC
西部数据	US.WDC
林氏研究	US.LRCX
博通	US.AVGO
飞塔信息	US.FTNT
铿腾电子	US.CDNS
3D系统	US.DDD
康沃系统	US.CVLT
亚德诺	US.ADI
厄比奎蒂	US.UBNT
施乐	US.XRX
艾睿	US.ARW
安费诺	US.APH
美光	US.MU
杜比	US.DLB
菲斯克	US.FSR
任天堂	US.NTDOY
贝宝	US.PYPL
Snap	US.SNAP
欧朋	US.OPRA
搜诺思	US.SONO
来福车	US.LYFT
Zoom视频	US.ZM
优步	US.UBER
CrowdStr	US.CRWD
Fiverr	US.FVRR
莫霍克	US.MWK
Cambium	US.CMBM
Dynatrac	US.DT
维珍银河	US.SPCE
爱彼迎	US.ABNB
天睿祥	US.TIRX
嘉能可	US.GLNCY
卢克石油	US.LUKOY
法通保险	US.LGGNF
引能仕	US.JXHLY
德国邮政	US.DPSGY
雷诺	US.RNLSY
日本制铁	US.NPSCY
法国人寿	US.CNPAY
三星电子	US.SSNGY
图森未来	US.TSP
Meta	US.META
多邻国	US.DUOL